"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount"
"65 Selby Lane","Atherton"," 40075","10800000","10656.864","16565861.4","-661.3255"," 0.100677708"," 25"," 61","  58","3418"
"485 Summit Springs Road","Woodside"," 55757"," 2399000"," 6189.917"," 8352576.2","-538.9111"," 0.825174116"," 19","223","  54","3418"
"511 Corbitt Drive","Burlingame","  6250","  949000"," 2450.800"," 2280000.0","-519.5569"," 0.258965468","  2","253"," 153","3418"
"15545 Swiss Creek Lane","Cupertino","435164"," 1649999"," 3084.400"," 3025484.2","-480.8991"," 0.092563811","335","202"," 202","7981"
"340 Jane Drive","Woodside","136778"," 5750000"," 8562.500","11554101.3","-459.9796"," 0.291698182"," 19","223","  54","3418"
"6 TUSCALOOSA Avenue","Atherton"," 17000"," 4685000"," 4520.691"," 7027314.9","-452.1251"," 0.081804102"," 25"," 61","  58","3418"
"598 Hamilton Avenue","Menlo Park","  6800","  995000"," 1790.000"," 1400000.0","-437.8322","-0.150130548"," 29","249"," 252","3418"
"1425 San Raymundo Road","Hillsborough"," 24960"," 3998000"," 5443.503"," 5747472.7","-419.2166","-0.050772277"," 17","253"," 100","3418"
"2577 Ramona Street","Palo Alto","  8070"," 4980000"," 2974.500"," 4177105.0","-413.4573","-0.338474771"," 48"," 99"," 320","7981"
"3120 Alexis Drive","Palo Alto"," 27873"," 9988000"," 5732.000"," 7800000.0","-393.3882","-0.380402474","  2"," NA"," 320","7981"
"28 Sneckner Court","Menlo Park"," 10890"," 2998000"," 5178.195"," 4550000.0","-379.9714","-0.070298015","  2","249"," 252","3418"
"121 Springdale Way","Redwood City"," 26700"," 2150000"," 3640.000"," 2846445.5","-368.5290","-0.183468750"," 93","223"," 479","3418"
"84 Nora Way","Atherton"," 40260"," 7858620","10706.060","16642335.1","-366.4780"," 0.398081239"," 25"," 61","  58","3418"
"810 Miranda Green Street","Palo Alto","  8343"," 2988000"," 2732.876"," 3681644.4","-362.9786","-0.100826529","  2","124"," 320","7981"
"15040 Montebello Road","Cupertino"," 73468"," 1599000"," 3084.400"," 3025484.2","-359.6867"," 0.114636949","335","202"," 202","7981"
"1023 Forest Avenue","Palo Alto","  9984"," 4995000"," 3797.914"," 6065298.8","-348.2581","-0.080472134"," 18"," 99"," 320","7981"
"25561 Big Basin","Saratoga","435600"," 1998000"," 4800.000"," 4323786.6","-348.2446"," 0.169610693","260","258"," 258","7981"
"603 Bernal Avenue","Sunnyvale","  6032"," 1199999"," 2068.815"," 1867380.0","-346.8204","-0.046126548","482"," 60"," 482","7981"
"2073 Edgewood Drive","Palo Alto","  7560"," 3750000"," 2979.600"," 4633161.7","-335.0521","-0.072146482"," 40","184"," 320","7981"
"33 Reddy Street","San Francisco","  2500","  825000"," 2200.000"," 1457182.2","-330.4971","-0.087421242","176"," 11"," 156"," 156"
"931 Laurel Glen Drive","Palo Alto","190793"," 8500000"," 5732.000"," 7800000.0","-322.1143","-0.290187483","  2"," NA"," 320","7981"
"2032 Idaho Court","Redwood City","  7680"," 1200000"," 2000.000"," 1755120.5","-316.8126","-0.093187720","126","244"," 479","3418"
"1232 Richardson Avenue","Los Altos"," 20013"," 4275000"," 3537.400"," 4073781.2","-316.1810","-0.290018682","117","186"," 250","7981"
"307 Verano Drive","Los Altos"," 14385"," 4995000"," 3907.200"," 5058972.0","-315.3702","-0.237113367"," 79","151"," 250","7981"
"1162 Cordelia Avenue","San Jose","  9000"," 1299000"," 3084.400"," 3025484.2","-297.2146"," 0.264971021","335","132","4378","7981"
"27210 Carrington Circle","Los Altos Hills"," 57935"," 4250000"," 5696.800"," 6222466.3","-294.3017","-0.028888269"," 88","151","  87","7981"
"1127 High Street","Palo Alto","  8000"," 4000000"," 4317.400"," 7216225.7","-287.3455"," 0.267386419"," 11"," 99"," 320","7981"
"1092 Metro Circle","Palo Alto"," 11552"," 2990000"," 2407.600"," 3306359.3","-286.0282","-0.171691211"," 82","184"," 320","7981"
"795 Ames Avenue","Palo Alto","  7020"," 2888000"," 2296.356"," 3153587.6","-285.9515","-0.180063492"," 82","184"," 320","7981"
"15461 NATIONAL Avenue","Los Gatos","  6970"," 1599000"," 2383.315"," 2068878.3","-282.1384","-0.168512846","270","147"," 289","7981"
"345 Elm Street","San Mateo","  7500"," 1325000"," 2351.200"," 1803750.0","-282.0405","-0.173797996"," 18","103"," 475","3418"
"21740 Rainbow Drive","Cupertino"," 69696"," 3300000"," 3084.400"," 3025484.2","-280.8564","-0.334085858","335","202"," 202","7981"
"545 Oxford Street","San Francisco","  3000"," 1595000"," 2440.000"," 1616147.5","-276.1570","-0.354096599","176"," 20"," 156"," 156"
"3239 Maddux Drive","Palo Alto","  7200"," 3198000"," 2355.237"," 3234448.8","-273.9541","-0.229611309"," 82","184"," 320","7981"
"20 Cordova Court","Portola Valley"," 58806"," 3998000"," 5700.000"," 6840000.0","-273.0350"," 0.114435879"," 17"," 50","  50","3418"
"669 Hayne Road","Hillsborough"," 37897"," 6385000"," 5201.000"," 5182491.1","-265.8921","-0.393387698","  4","253"," 100","3418"
"1105 Del Cambre Drive","San Jose","  6000"," 1359000"," 2277.005"," 2233511.2","-262.2314"," 0.017170532","335","132","4378","7981"
"1556 S Mary Avenue","Sunnyvale","  8550"," 1799888"," 2223.700"," 2007184.6","-261.8753","-0.243338780","482","247"," 482","7981"
"3685 Ysabel Drive","San Bruno","  7000","  979000"," 1777.700"," 1188888.0","-256.8412","-0.268889421"," 24","196"," 196","3418"
"161 Willow Road","Menlo Park","  8660"," 2798000"," 2525.833"," 3203545.0","-256.7430","-0.162118587"," 18","249"," 252","3418"
"1072 Petie Way","Mountain View","  5200"," 1595000"," 1741.756"," 2194400.5","-253.5694","-0.036237666"," 52"," 84"," 177","7981"
"53 James Avenue","Atherton"," 49686","11995000"," 6656.000","10120455.6","-249.8444","-0.327318594"," 11"," 61","  58","3418"
"2444 Forbes Avenue","Santa Clara","  5612"," 1396000"," 1777.996"," 1325699.1","-243.8168","-0.360992629","479","144"," 417","7981"
"1729 Middlefield Road","Palo Alto","  8750"," 3898000"," 2979.600"," 4633161.7","-243.3863","-0.100803777"," 40"," 99"," 320","7981"
"19750 Littlebrook Drive","Los Gatos"," 82328"," 2588000"," 4800.000"," 4323786.6","-243.1015","-0.001707656","260","129"," 289","7981"
"1817 Bali Terrace","San Leandro","  2546","  688000"," 1043.589","  551749.1","-242.0369","-0.487425173","666"," 11","  27"," 704"
"639 Almond Avenue","Los Altos"," 17000"," 5498000"," 3907.200"," 5058972.0","-241.7270","-0.294643018"," 79","151"," 250","7981"
"17320 Stevens Canyon Road","Cupertino"," 88426","  519000"," 4800.000"," 4323786.6","-240.4835"," 1.052639899","260","202"," 202","7981"
"1339 Poplar Avenue","Sunnyvale","  9375"," 1899999"," 2223.700"," 2007184.6","-240.3815","-0.272846725","482","247"," 482","7981"
"256 Linden Avenue","San Bruno","  3800","  998000"," 1975.605"," 1323000.0","-238.6241","-0.226501328"," 34","196"," 196","3418"
"1418 24th Avenue","Oakland","  4407","  575000"," 1806.401","  955050.4","-235.3362","-0.204780326","666","  6","  33"," 704"
"552 Nevada Avenue","San Mateo","  8040"," 2800000"," 3361.500"," 3344078.2","-227.6940","-0.183396725"," 14","164"," 475","3418"
"1049 Sunset Drive","San Carlos","  5500"," 1299000"," 2387.588"," 2053426.6","-226.3838","-0.052394629"," 69","245"," 245","3418"
"654 Willis Avenue","San Jose","  5800","  695000"," 2423.891"," 1609689.7","-225.3307"," 0.052626834","538","455","4378","7981"
"627 Spring Street","Redwood City","  5000","  980000"," 1395.091"," 1276311.5","-224.2318","-0.151271669"," 16"," 63"," 479","3418"
"18700 Casa Blanca Lane","Saratoga"," 12870"," 1699988"," 3391.981"," 3055459.1","-220.7937"," 0.045626782","260","258"," 258","7981"
"12469 Saratoga Avenue","Saratoga","  9963"," 1988000"," 2625.821"," 2365309.9","-220.2000","-0.207514625","260","258"," 258","7981"
"26707 Tanglewood Lane","Los Altos Hills","110206"," 4895000"," 5696.800"," 6222466.3","-218.1668","-0.123734312"," 88","151","  87","7981"
"236 Alberta Avenue","San Carlos","  8800"," 2848000"," 2418.400"," 2450363.0","-217.6859","-0.362298903"," 60","245"," 245","3418"
"1011 Live Oak Drive","Santa Clara","  6300","  899000"," 1976.900"," 1474004.4","-216.7905","-0.081260210","479","240"," 417","7981"
"1570 Willow Street","San Jose"," 11610"," 1798000"," 2986.400"," 1983248.3","-214.5933","-0.315339395","538","455","4378","7981"
"4155 Jefferson Avenue","Redwood City"," 42515"," 2698888"," 2857.500"," 2533623.6","-213.6180","-0.337407625"," 56","223"," 479","3418"
"27510 E 10th Street","Hayward","  6640","  600000"," 2674.400"," 1413964.8","-211.2432","-0.062277323","666"," 37","  76"," 704"
"1611 Crow Court","Sunnyvale","  8000"," 2288000"," 2223.700"," 2007184.6","-206.1336","-0.368320734","482","247"," 482","7981"
"255 Morton Drive","Daly City","  3572","  888000"," 1950.393"," 1065000.0","-205.4974","-0.327650582"," 33","178"," 282","3418"
"10380 Sterling Boulevard","Cupertino","  6681"," 2448000"," 2535.445"," 2487014.7","-205.2334","-0.279156157","335","202"," 202","7981"
"825 Crompton Road","Redwood City","  9330"," 1598888"," 2805.696"," 2487691.3","-203.3719","-0.052054447"," 56","244"," 479","3418"
"180 Magnolia Drive","Atherton"," 40600","10250000"," 6634.226","10087348.4","-202.8511","-0.233576083"," 11"," 61","  58","3418"
"2226 Louis Road","Palo Alto"," 13400"," 5450000"," 2979.600"," 4633161.7","-201.2600","-0.320787847"," 40","184"," 320","7981"
"863 Skyline Drive","Daly City","  3500"," 1100000"," 1873.000"," 1100000.0","-201.0366","-0.384439497"," 21","178"," 282","3418"
"27408 Deer Springs Way","Los Altos Hills"," 69721"," 3395000"," 5696.800"," 6222466.3","-200.0269"," 0.133786893"," 88","151","  87","7981"
