"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount"
"485 Summit Springs Road","Woodside","  55757"," 2399000"," 6189.917"," 8352576","867.3615","0.8251741160"," 19","223","  54","3418"
"375 Walsh Road","Atherton","  45150"," 4988000","10549.955","15110070","859.1852","0.7235850013","  7"," 61","  58","3418"
"17320 Stevens Canyon Road","Cupertino","  88426","  519000"," 4800.000"," 4323787","729.6087","1.0526398993","260","202"," 202","7981"
"349 Fletcher Drive","Atherton","  42253"," 5950000"," 9873.029","14140549","729.3315","0.4756334793","  7"," 61","  58","3418"
"84 Nora Way","Atherton","  40260"," 7858620","10706.060","16642335","711.6298","0.3980812391"," 25"," 61","  58","3418"
"84 Edge Road","Atherton","  45770"," 4985000"," 6656.000","10120456","665.1177","0.3480798204"," 11"," 61","  58","3418"
"14486 Liddicoat Circle","Los Altos Hills","  48351"," 2100000"," 5509.815"," 6018228","634.6768","0.4913494636"," 88","151","  87","7981"
"1127 High Street","Palo Alto","   8000"," 4000000"," 4317.400"," 7216226","627.9450","0.2673864191"," 11"," 99"," 320","7981"
"340 Jane Drive","Woodside"," 136778"," 5750000"," 8562.500","11554101","583.3944","0.2916981818"," 19","223","  54","3418"
"27447 Edgerton Road","Los Altos Hills","  63162"," 2488000"," 5696.800"," 6222466","579.0784","0.3788035500"," 88","151","  87","7981"
"2551 Greer Road","Palo Alto","   8400"," 2195000"," 2974.500"," 4177105","568.0644","0.2582660466"," 48","124"," 320","7981"
"668 Partridge Avenue","Menlo Park","   8460"," 2498000"," 3668.000"," 4919403","566.2609","0.2714108594"," 22","249"," 252","3418"
"1350 Elder Avenue","Menlo Park","  10500"," 2995000"," 4723.789"," 6085273","564.0183","0.2826672704"," 38","249"," 252","3418"
"1 Holbrook Lane","Atherton","  13020"," 1999000"," 4644.264"," 4944367","559.6712","0.3555078248"," 14"," 61","  58","3418"
"91 Belleau Avenue","Atherton","  14896"," 2298000"," 5313.437"," 5656781","557.6063","0.3516865064"," 14"," 61","  58","3418"
"19765 Skyline Boulevard","Portola Valley","1193544"," 3198000"," 5700.000"," 6840000","554.9474","0.2960880196"," 17"," 50","  50","3418"
"1319 Westridge Drive","Portola Valley","  49223"," 3350000"," 5700.000"," 6840000","528.2807","0.2571541502"," 17"," 50","  50","3418"
"18 Lloyden Drive","Atherton","  14508"," 2495000"," 5175.037"," 5509437","507.9725","0.2659079615"," 14"," 61","  58","3418"
"180 Cherokee Way","Portola Valley","  48788"," 3499000"," 5700.000"," 6840000","502.1404","0.2211940872"," 17"," 50","  50","3418"
"450 Golden Oak Drive","Portola Valley","  73181"," 3500000"," 5700.000"," 6840000","501.9649","0.2209596929"," 17"," 50","  50","3418"
"27022 Dezahara Way","Los Altos Hills","  55321"," 2988000"," 5696.800"," 6222466","491.3098","0.2320298851"," 88","151","  87","7981"
"1162 Cordelia Avenue","San Jose","   9000"," 1299000"," 3084.400"," 3025484","491.0843","0.2649710213","335","132","4378","7981"
"480 Cotton Street","Menlo Park","  10000"," 3195000"," 4498.847"," 5795498","487.8612","0.1859676692"," 38","249"," 252","3418"
"511 Corbitt Drive","Burlingame","   6250","  949000"," 2450.800"," 2280000","477.9664","0.2589654681","  2","253"," 153","3418"
"150 Back Road","La Honda"," 260140","  549000"," 1952.500"," 1576119","469.5470","0.2917298749","  1","  3","   3","3418"
"222 Camino Al Lago","Atherton","  49658","11900000","12024.000","18691044","455.9773","0.1209419399"," 25"," 61","  58","3418"
"1017 Miller Avenue","San Jose","   6300"," 1100000"," 2390.855"," 2345187","452.1494","0.2001738168","335","132","4378","7981"
"905 Sherman Avenue","Menlo Park","   5500"," 1850000"," 2474.366"," 3187524","450.3768","0.1435350466"," 38","249"," 252","3418"
"156 Monroe Drive","Palo Alto","   9000"," 1998000"," 2407.600"," 3306359","447.2978","0.1303667822"," 82","124"," 320","7981"
"100 Phillip Road","Woodside"," 136778"," 6995000"," 8562.500","11554101","437.9929","0.1235461247"," 19","223","  54","3418"
"12516 Robleda Road","Los Altos Hills","  47641"," 3150000"," 5428.908"," 5929855","435.5876","0.1540370092"," 88","151","  87","7981"
"65 Selby Lane","Atherton","  40075","10800000","10656.864","16565861","432.2333","0.1006777077"," 25"," 61","  58","3418"
"3884 Magnolia Drive","Palo Alto","   8100"," 2385000"," 2743.400"," 3821164","425.9980","0.1077495732"," 23","124"," 320","7981"
"1258 S Stelling Road","Cupertino","   9200"," 1499888"," 3084.400"," 3025484","425.9539","0.1601892877","335","202"," 202","7981"
"260 Franklin Street","Mountain View","   7500"," 1498000"," 2371.500"," 2689465","423.0243","0.1320474005"," 32"," 40"," 177","7981"
"25561 Big Basin","Saratoga"," 435600"," 1998000"," 4800.000"," 4323787","421.4837","0.1696106931","260","258"," 258","7981"
"27408 Deer Springs Way","Los Altos Hills","  69721"," 3395000"," 5696.800"," 6222466","419.8662","0.1337868926"," 88","151","  87","7981"
"1360 Elder Avenue","Menlo Park","   9975"," 3495000"," 4487.600"," 5781009","419.2304","0.1105200147"," 38","249"," 252","3418"
"155 Willowbrook Drive","Portola Valley","  48643"," 3995000"," 5700.000"," 6840000","415.1228","0.1150219106"," 17"," 50","  50","3418"
"20 Cordova Court","Portola Valley","  58806"," 3998000"," 5700.000"," 6840000","414.5965","0.1144358795"," 17"," 50","  50","3418"
"6 TUSCALOOSA Avenue","Atherton","  17000"," 4685000"," 4520.691"," 7027315","409.3186","0.0818041025"," 25"," 61","  58","3418"
"22541 Mount Eden Road","Saratoga","  15638"," 1798000"," 4121.508"," 3712608","401.4855","0.1378414879","260","258"," 258","7981"
"1155 Happy Valley Avenue","San Jose","  11495"," 1580000"," 3084.400"," 3025484","399.9807","0.1230902009","335","132","4378","7981"
"137 Sylvian Way","Los Altos","  12000"," 2995000"," 3700.985"," 4791969","394.9032","0.0855566850"," 79","151"," 250","7981"
"15040 Montebello Road","Cupertino","  73468"," 1599000"," 3084.400"," 3025484","393.8206","0.1146369486","335","202"," 202","7981"
"2361 Fruitdale Avenue","San Jose","   8100","  685000"," 2493.700"," 1770532","385.6096","0.1489659642","480","176","4378","7981"
"295 Atherton Avenue","Atherton","  87120","12800000","12024.000","18691044","381.1270","0.0594538282"," 25"," 61","  58","3418"
"364 Alicia Way","Los Altos","  10224"," 2600000"," 3153.239"," 4082757","379.5983","0.0707824657"," 79","151"," 250","7981"
"15545 Swiss Creek Lane","Cupertino"," 435164"," 1649999"," 3084.400"," 3025484","377.2861","0.0925638114","335","202"," 202","7981"
"1533 Topar Avenue","Los Altos","  14100"," 2495000"," 4293.500"," 4413685","374.9218","0.0850311009"," 31","186"," 250","7981"
"1065 Deanna Drive","Menlo Park","  10050"," 2498000"," 3852.735"," 4236941","374.3718","0.0784205787"," 13","249"," 252","3418"
"534 Wellington Drive","San Carlos","   7050"," 1348000"," 2744.981"," 2553875","374.1751","0.0937646089"," 51","245"," 245","3418"
"355 Lloyden Park Lane","Atherton","  11718"," 2598000"," 4179.837"," 4449930","368.5394","0.0743736316"," 14"," 61","  58","3418"
"887 Linda Vista Way","Los Altos","  12360"," 2495000"," 3537.400"," 4073781","365.6970","0.0653493054","117","186"," 250","7981"
"1124 Pecos Way","Sunnyvale","   5775","  949000"," 1980.670"," 1787818","360.3179","0.0774168604","482"," 45"," 482","7981"
"1785 Croner Avenue","Menlo Park","   8778"," 2500000"," 3324.400"," 3951073","353.2963","0.0506611656"," 42","249"," 252","3418"
"687 Florales Drive","Palo Alto","   8235"," 2588000"," 2743.400"," 3821164","352.0022","0.0418240836"," 23","124"," 320","7981"
"1255 Covington Road","Los Altos","  11024"," 2298000"," 3188.841"," 3672369","350.3792","0.0493604680","117","186"," 250","7981"
"509 Poinsettia Avenue","San Mateo","   5500","  888000"," 1807.500"," 1613839","339.0708","0.0493763578"," 43","208"," 475","3418"
"18700 Casa Blanca Lane","Saratoga","  12870"," 1699988"," 3391.981"," 3055459","336.5552","0.0456267816","260","258"," 258","7981"
"654 Willis Avenue","San Jose","   5800","  695000"," 2423.891"," 1609690","330.8777","0.0526268339","538","455","4378","7981"
"10740 Randy Lane","Cupertino","   8520"," 1799999"," 3084.400"," 3025484","328.6543","0.0324297237","335","202"," 202","7981"
"848 S Springer Road","Los Altos","  10206"," 2199000"," 2952.223"," 3399873","326.1549","0.0250318619","117","186"," 250","7981"
"35 Sugar Hill Drive","Hillsborough","  30750"," 3890000"," 6440.664"," 6417743","322.7154","0.0251283426","  5","253"," 100","3418"
"1105 Del Cambre Drive","San Jose","   6000"," 1359000"," 2277.005"," 2233511","315.3992","0.0171705317","335","132","4378","7981"
"979 Rosewood Drive","San Mateo","   4785"," 1129000"," 2053.562"," 1900983","311.1247","0.0130913604"," 10","103"," 475","3418"
"105 Fox Avenue","San Jose","   5310","  449000"," 2075.287"," 1175582","310.4590","0.0202553313","435"," 56","4378","7981"
"31 Maddux Avenue","San Francisco","   2596","  700000"," 2284.480"," 1513138","309.5752","0.0157898300","176"," 11"," 156"," 156"
"534 Hemlock Avenue","Millbrae","   5400","  958888"," 1968.000"," 1683278","308.2116","0.0104308129","  2","120"," 120","3418"
"19640 Redberry Drive","Los Gatos","  97138"," 2580000"," 4800.000"," 4323787","300.2337","0.0002789957","260","129"," 289","7981"
